1,"Age is an issue of mind over matter. If you don't mind, it doesn't matter.",Mark Twain
2,"Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. The greatest thing in life is to keep your mind young.",Henry Ford
3,"Wrinkles should merely indicate where smiles have been.",Mark Twain
4,"True terror is to wake up one morning and discover that your high school class is running the country.",Kurt Vonnegut
5,"A diplomat is a man who always remembers a woman's birthday but never remembers her age.",Robert Frost
6,"As I grow older, I pay less attention to what men say. I just watch what they do.",Andrew Carnegie
7,"How incessant and great are the ills with which a prolonged old age is replete.",C. S. Lewis
8,"Old age, believe me, is a good and pleasant thing. It is true you are gently shouldered off the stage, but then you are given such a comfortable front stall as spectator.",Confucius
9,"Old age has deformities enough of its own. It should never add to them the deformity of vice.",Eleanor Roosevelt
10,"Nobody grows old merely by living a number of years. We grow old by deserting our ideals. Years may wrinkle the skin, but to give up enthusiasm wrinkles the soul.",Samuel Ullman
11,"An archaeologist is the best husband a woman can have. The older she gets the more interested he is in her.",Agatha Christie
12,"All diseases run into one, old age.",Ralph Waldo Emerson
13,"Bashfulness is an ornament to youth, but a reproach to old age.",Aristotle
14,"Like everyone else who makes the mistake of getting older, I begin each day with coffee and obituaries.",Bill Cosby
15,"Age appears to be best in four things old wood best to burn, old wine to drink, old friends to trust, and old authors to read.",Francis Bacon
16,"None are so old as those who have outlived enthusiasm.",Henry David Thoreau
17,"Every man over forty is a scoundrel.",George Bernard Shaw
18,"Forty is the old age of youth fifty the youth of old age.",Victor Hugo
19,"You can't help getting older, but you don't have to get old.",George Burns
20,"Alas, after a certain age every man is responsible for his face.",Albert Camus